,name,latitude_radian,longitude_radian,num_links,links,num_categories,categories,latitude_degrees,longitude_degrees
79391,KALAZNÓ,0.8115974947246075,0.3224641237163856,8,Hungary; Tolna county; Counties of Hungary; Central European Time; Postal code; Countries of the world; Central European Summer Time; Tolna County,1,POPULATED PLACES IN TOLNA COUNTY,46.50111111111111,18.47583333333333
380,BAGHCHELEH,0.6312565016254823,0.8078062517383311,13,Saqqez County; Sarshiv District (Saqqez County); Romanize; Kurdistan Province; List of countries; Counties of Iran; Iran Daylight Time; Zu ol Faqr Rural District; Iran Standard Time; Provinces of Iran; Rural Districts of Iran; Iran; Bakhsh,1,POPULATED PLACES IN SAQQEZ COUNTY,36.16833333333333,46.28388888888889
34776,TORÀ,0.729746643349725,0.024501901666858616,65,Massoteres; Segarra; Jewish quarter (diaspora); meat packing industry; county; aqueduct (bridge); Battle of Torà; La Seu d'Urgell; Postal code; Pinós; Calaf; convent; Lleida; Battle of Albesa; Claret (Torà); verbena (fair); populated place; Vallferosa (Torà); Catalonia; Marca Hispanica; AD; Guissona; Llanera (Torà); Sant Serni de Llanera (Torà); Caliphate of Córdoba; carnival; watchtower; Vall de Núria#The Virgin of Núria; Municipalities of Catalonia; Biosca; Balaguer; Cellers (Torà); Anthony of Padua; urban structure; Good Friday; La Molsosa; Midsummer#Spain; patron saint; Vallferosa (torà); Rose; Portal (architecture); Blind arch; Courtyard; acequia; Catalonia/Comarques; Cervera; Urban block; St. John's Eve; Generalitat of Catalonia; Ivorra; Institut d'Estadística de Catalunya; Fontanet (Torà); cemetery; waterway; Castellfollit de Riubregós; List of countries; apse; Saint Giles; Llobera; Spain; arch; ice well; Reconquista; Autonomous communities of Spain; Sant Guim de la Plana,2,MUNICIPALITIES IN SEGARRA; POPULATED PLACES IN SEGARRA,41.81140277777777,1.4038555555555556
142755,STUPSK MAZOWIECKI RAILWAY STATION,0.9253899702663744,0.3566770322992785,7,Masovian Voivodeship; PKP; Mława County; Poland; railway station; Koleje Mazowieckie; Stupsk,1,RAILWAY STATIONS IN WARSAW,53.02093969999999,20.4360886
378846,ROTVÆR LIGHTHOUSE,1.1932442789350777,0.2782893555347281,10,Lødingen; Ofotfjorden; Nordland; Norway; Occulting light; candela; Lighthouses in Norway; coastal lighthouse; List of lighthouses in Norway; Store norske leksikon,4,LIGHTHOUSES COMPLETED IN 1914; TOWERS COMPLETED IN 1914; LØDINGEN; LIGHTHOUSES IN NORDLAND,68.36786111111111,15.944805555555558
105865,"GUSIN, MASOVIAN VOIVODESHIP",0.9057434634592684,0.3710569989739945,9,Gmina Sobienie-Jeziory; Masovian Voivodeship; Powiat; Voivodeships of Poland; Siedlce Voivodeship; village; Otwock County; Gmina; Countries of the world,1,VILLAGES IN OTWOCK COUNTY,51.89527777777778,21.260000000000005
242427,MEDFORD HIGH SCHOOL (MASSACHUSETTS),0.740543686434875,-1.2413664001083289,52,"Elizabeth Neilson; Coeducational; Bloomberg L.P.; Pre-kindergarten; Shawn Bates; Eddie Tryon; Elizabeth Short; Manhattan Project; Michael Bloomberg; Jack Garrity; History of the United States; U.S. Atomic Energy Commission; Arlington, Massachusetts; George Stewart Miller; Jim Reid (American football); Mike Pagliarulo; Old Medford High School; Dave Sacco; Public school (government funded); Fannie Farmer; university-preparatory school; Massachusetts Comprehensive Assessment System; Paul Theroux; Martin Demaine; science; Middlesex Fells Reservation; Secondary education in the United States; John P. Riley, Jr.; Bia (rapper); Joe Sacco (ice hockey); Bill Riley (ice hockey b. 1921); United States; mathematics; Elliot Quincy Adams; Medford Public Schools; Frank Morrissey; Advanced Placement Program; Hoshū jugyō kō; Frederick M. Ellis; Massachusetts; Arantxa King; Ninth grade; Twelfth grade; New England Association of Schools and Colleges; art; Medford, Massachusetts; Malden High School; NEC; Massachusetts Interscholastic Athletic Association; Bill Monbouquette; William L. Uanna; Maria Menounos",2,"PUBLIC HIGH SCHOOLS IN MASSACHUSETTS; SCHOOLS IN MIDDLESEX COUNTY, MASSACHUSETTS",42.430027777777774,-71.12505555555555
362151,CEDAR CREEK WIND FARM,0.7133354578373269,-1.8167665479058197,12,"General Electric; wind farm; wind power; Wind power in the United States; Mitsubishi Heavy Industries; Public Service Company of Colorado; power purchase agreement; Colorado; United States Dollar; wind turbine; Weld County, Colorado; List of wind farms",5,"ENERGY INFRASTRUCTURE COMPLETED IN 2007; BUILDINGS AND STRUCTURES IN WELD COUNTY, COLORADO; ENERGY INFRASTRUCTURE COMPLETED IN 2010; WIND FARMS IN COLORADO; BP BUILDINGS AND STRUCTURES",40.87111111111111,-104.09305555555557
54041,AŞAĞI BILNƏ,0.6771877497737998,0.8456120225912527,5,"Azerbaijan; Azerbaijan Time; Noda, Azerbaijan; Administrative divisions of Azerbaijan; Lerik Rayon",1,POPULATED PLACES IN LERIK DISTRICT,38.8,48.45
225792,JOHN S. BOWERS HOUSE,0.7126955037782622,-1.4822014747089405,7,"Adams County, Indiana; Queen Anne style architecture; National Register of Historic Places; Tuscan order; Decatur, Indiana; slate; quarry",6,"HOUSES ON THE NATIONAL REGISTER OF HISTORIC PLACES IN INDIANA; QUEEN ANNE ARCHITECTURE IN INDIANA; 1905 ESTABLISHMENTS IN INDIANA; NATIONAL REGISTER OF HISTORIC PLACES IN ADAMS COUNTY, INDIANA; HOUSES IN ADAMS COUNTY, INDIANA; HOUSES COMPLETED IN 1905",40.834444444444436,-84.92388888888892
111207,VÖRÖSMARTY UTCA (BUDAPEST METRO),0.8291518224156942,0.3327609845267349,9,Budapest; Budapest Metro; cut-and-cover; Hungary; Church of Scotland; side platforms; List of Budapest Metro stations; Mihály Vörösmarty; Line 1 (Budapest Metro),2,METRO STATIONS IN BUDAPEST; RAILWAY STATIONS OPENED IN 1896,47.5069,19.065800000000003
289343,MBANDJOCK,0.07766715171374766,0.2076941809873252,6,"Centre Province, Cameroon; Cameroon; Provinces of Cameroon; Haute-Sanaga; Centre Province (Cameroon); Divisions of Cameroon",1,POPULATED PLACES IN CAMEROON,4.45,11.899999999999999
245797,PYSZNICA,0.8826130027335324,0.38624621160315625,12,Powiat; Stalowa Wola; Subcarpathian Voivodeship; Poland; gmina; Voivodeships of Poland; Gmina Pysznica; Rzeszów; village; Gmina; Countries of the world; Stalowa Wola County,1,VILLAGES IN STALOWA WOLA COUNTY,50.57,22.13027777777778
206208,STRZYKUŁY,0.9116436459583714,0.36331937262348624,11,Masovian Voivodeship; Powiat; Warsaw; Ożarów Mazowiecki; Poland; Warsaw West County; Voivodeships of Poland; village; Gmina; Countries of the world; Gmina Ożarów Mazowiecki,1,VILLAGES IN WARSAW WEST COUNTY,52.233333333333334,20.816666666666666
275596,KUH PAR,0.6376221052584506,0.8942436829433502,13,Romanize; Chalus County; List of countries; Mazandaran Province; Counties of Iran; Kelardasht District; Iran Daylight Time; Iran Standard Time; Provinces of Iran; Rural Districts of Iran; Iran; Bakhsh; Kelardasht-e Sharqi Rural District,1,POPULATED PLACES IN CHALUS COUNTY,36.533055555555556,51.23638888888889
129991,"MAPLE TOWNSHIP, CASS COUNTY, MINNESOTA",0.8132264686931356,-1.6480222980588346,26,"Loon Lake Township, Cass County, Minnesota; List of sovereign states; United States Census, 2000; Township (United States); 2000 United States Census; U.S. state; population density; Geographic Names Information System; sugar maple; Marriage; Federal Information Processing Standard; Minnesota; United States Census Bureau; United States Geological Survey; Wilson Township, Cass County, Minnesota; White (U.S. Census); poverty line; Cass County, Minnesota; census; North American Central Time Zone; Walden Township, Cass County, Minnesota; per capita income; List of counties in Minnesota; Meadow Brook Township, Cass County, Minnesota; Moose Lake Township, Cass County, Minnesota; Home Brook Township, Cass County, Minnesota",3,"TOWNSHIPS IN MINNESOTA; TOWNSHIPS IN CASS COUNTY, MINNESOTA; BRAINERD, MINNESOTA MICROPOLITAN AREA",46.59444444444444,-94.42472222222223
379369,NAGYBÖRZSÖNY,0.8365944881226153,0.3287036757922653,19,Pest (county); steel; Romanesque architecture; Hungary; Martin Heinrich Klaproth; Duna-Ipoly; Börzsöny; Central European Time; Franz-Joseph Müller von Reichenstein; Börzsöny-creek; Tellurium; Gothic architecture; Pest County; Central Hungary; classicist style; Ignaz von Born; Central European Summer Time; Imre Henszlmann; Pál Kitaibel,3,ROMANESQUE ARCHITECTURE IN HUNGARY; POPULATED PLACES IN PEST COUNTY; HUNGARIAN GERMAN COMMUNITIES,47.93333333333333,18.83333333333333
205922,"ISLAND GROVE, JASPER COUNTY, ILLINOIS",0.6824673707610827,-1.5417414428860021,14,"List of sovereign states; Jasper County, Illinois; Unincorporated community; Grove Township, Jasper County, Illinois; Illinois Department of Transportation; Wheeler, Illinois; Central Time Zone; List of counties in Illinois; U.S. state; List of townships in Illinois; unincorporated community; Illinois; Geographic Names Information System; Area code 618",2,"UNINCORPORATED COMMUNITIES IN JASPER COUNTY, ILLINOIS; UNINCORPORATED COMMUNITIES IN ILLINOIS",39.1025,-88.33527777777778
81047,FATEHPUR GAYAND,0.4785692808968452,1.3983577966978569,10,"Lucknow; States and territories of India; New Delhi; Postal Index Number; Shahabad, Hardoi; Indian Standard Time; Hardoi; Uttar Pradesh; List of districts of India; Hindi language",1,VILLAGES IN HARDOI DISTRICT,27.42,80.12
361149,"JASEN, DOMŽALE",0.8060588862688759,0.2558985750422609,7,Statistical regions of Slovenia; Central Slovenia Statistical Region; Municipality of Domžale; Slovenia; Upper Carniola; Municipalities of Slovenia; Domžale,1,POPULATED PLACES IN THE MUNICIPALITY OF DOMŽALE,46.18377222222222,14.661908333333331
330440,INISHMURRAY,0.9500408895022466,-0.1512618685061752,17,Counties of Ireland; Columba; Republic of Ireland; Atlantic Ocean; island; Floruit; clochan; Connacht; Vikings; monastery; Saint Molaise; Provinces of Ireland; Aubrey Gwynn; County Sligo; Killala; List of abbeys and priories in Ireland#County Sligo; Battle of Cúl Dreimhne,4,UNINHABITED ISLANDS OF IRELAND; IMPORTANT BIRD AREAS OF THE REPUBLIC OF IRELAND; ISLANDS OF COUNTY SLIGO; NATIONAL MONUMENTS IN COUNTY SLIGO,54.43333333333333,-8.666666666666666
401438,ESSEN-ALTENESSEN STATION,0.8985682209788473,0.12230394733350265,27,Dortmund Hauptbahnhof; Regional-Express; railway station; Essen; Verkehrsverbund Rhein-Ruhr; Essen Hauptbahnhof; Railway divisions in Germany; Duisburg–Dortmund railway; Rhein-Emscher-Express; Hamm station; Essen Stadtbahn; Oberhausen Hauptbahnhof; Bergisch-Märkische Railway Company; Cologne-Minden Railway Company; Düsseldorf Hauptbahnhof ; Rhine-Ruhr S-Bahn; Cologne-Minden trunk line; Herne station; Gelsenkirchen Hauptbahnhof; Emscher; Tram; List of scheduled railway routes in Germany; S2 (Rhine-Ruhr S-Bahn); Essen-Bergeborbeck station; Prussian thaler; Rhenish Railway Company; North Rhine-Westphalia,5,1847 ESTABLISHMENTS IN PRUSSIA; RAILWAY STATIONS OPENED IN 1847; RHINE-RUHR S-BAHN STATIONS; RAILWAY STATIONS IN ESSEN; S2 (RHINE-RUHR S-BAHN),51.48416666666667,7.0075
304651,"QASR, KERMAN",0.5049189044651484,1.0242416233960612,14,Central District (Narmashir County); Kerman Province; Romanize; List of countries; Counties of Iran; Iran Daylight Time; Azizabad Rural District; Iran Standard Time; Provinces of Iran; Narmashir County; Rural Districts of Iran; Iran; Bakhsh; village,1,POPULATED PLACES IN NARMASHIR COUNTY,28.92972222222222,58.68472222222222
20796,CATHEY PEAK,0.5726005070322684,-1.8465531649821219,14,"topographic prominence; US State; Sunspot, New Mexico; National Solar Observatory; Tularosa Basin; United States Geological Survey; observatory; Sacramento Mountains; Cloudcroft, New Mexico; New Mexico; Otero County, New Mexico; cosmic ray; Apache Point Observatory; Alamogordo, New Mexico",3,"MOUNTAINS OF OTERO COUNTY, NEW MEXICO; LANDFORMS OF OTERO COUNTY, NEW MEXICO; MOUNTAINS OF NEW MEXICO",32.8075924,-105.79970299999998
22155,"SPANAWAY, WASHINGTON",0.8220112925948404,-2.1366999442068138,75,"Lakewood, Washington#Education; MLB; Alice In Chains; Puyallup, Washington; Washington State Route 7; Asian American (U.S. Census); unincorporated area; Native American (U.S. Census); Area code 253; Mount Rainier; Spanaway Lake High School; Challenger Secondary School; Frederickson, Washington; census-designated place; Long Island, New York; Elk Plain, Washington; Puyallup, Washington#Education; Seaweed (band)#Albums; Berlin; stagecoach; United States Census Bureau; The Movielife; United States Board on Geographic Names; Tacoma, Washington#Education; Walter de Gruyter#De Gruyter Mouton; White (U.S. Census); poverty line; Graham, Washington; Camassia; Seaweed (band); LeMay Family Collection Foundation; Pacific Lutheran University; 2010 United States Census; Rick Story; Pierce County, Washington; Bethel Junior High School; Ultimate Fighting Championship; America's Car Museum; Parkland, Washington; Mike Blowers; Lushootseed language; Pugets Sound Agricultural Company; List of counties in Washington; Jo Koy; Tacoma, Washington; Eatonville, Washington; African American (U.S. Census); U.S. state; Pacific Time Zone; McChord Field; Washington (state); Bethel School District (Washington); Geographic Names Information System; Mount Rainier National Park; Pacific Islander (U.S. Census); NASCAR; Federal Information Processing Standard; Jerry Cantrell; Bethel High School (Spanaway, Washington); ZIP code; Hudson's Bay Company; Joint Base Lewis-McChord; Fort Nisqually; Neko Case; United States Geological Survey; Race (United States Census); List of colleges active at Joint Base Lewis-McChord; Pierce County Library System; Census-designated place; Derrike Cope; Fox Confessor Brings the Flood; North American Numbering Plan; per capita income; Lakewood, Washington; stand-up comedian",2,"CENSUS-DESIGNATED PLACES IN WASHINGTON (STATE); CENSUS-DESIGNATED PLACES IN PIERCE COUNTY, WASHINGTON",47.09777777777778,-122.4238888888889
174488,PODMELEC,0.8057226194996585,0.2410293879239996,14,Diocese; Statistical regions of Slovenia; Tolmin; Slovenian Littoral; Assumption of Mary; Bača (river); Koper; Kneža; Gorizia Statistical Region; parish church; Municipality of Tolmin; Slovenia; village; Municipalities of Slovenia,1,POPULATED PLACES IN THE MUNICIPALITY OF TOLMIN,46.16450555555556,13.80996666666667
247934,GAHRAB,0.4980151576461487,0.9419348047540952,13,Shibkaveh District (Fars Province); Romanize; List of countries; Counties of Iran; Iran Daylight Time; Fars Province; Iran Standard Time; Provinces of Iran; Miyan Deh Rural District; Rural Districts of Iran; Iran; Bakhsh; Fasa County,1,POPULATED PLACES IN FASA COUNTY,28.534166666666668,53.968888888888884
149986,"KRZEMIENIEWO, GREATER POLAND VOIVODESHIP",0.90495321715906,0.2935062025437131,12,Powiat; Leszno; Greater Poland Voivodeship; Poland; Leszno County; gmina; Voivodeships of Poland; Gmina Krzemieniewo; village; Gmina; Countries of the world; Poznań,1,VILLAGES IN LESZNO COUNTY,51.85000000000001,16.81666666666667
302194,SHOPIAN DISTRICT,0.5884674279071721,1.3060874751326723,25,Districts of Jammu and Kashmir; Literacy in India; Kulgam district; Postal Index Number; Jammu and Kashmir; List of districts of Jammu and Kashmir; Badgam district; Mughal Empire; Mohammad Aijaz; Women in India; sex ratio; Pir Panjal; Shupiyan; Demographics of India; Urdu; Headquarters; Pulwama district; Kashmiri language; Shopian; India; Barbados; 2011 census of India; Districts of India; Indian Standard Time; Family planning in India,3,SHOPIAN DISTRICT; KASHMIR; DISTRICTS OF JAMMU AND KASHMIR,33.7167,74.83329999999998
393128,"CLARKSVILLE, IDAHO",0.8334625917426477,-2.037376165357903,11,"U.S. state; List of counties in Idaho; Pacific Time Zone; Lake Hayden; Coeur d'Alene, Idaho; List of sovereign states; Kootenai County, Idaho; Geographic Names Information System; Area code 208; Idaho; Unincorporated area",2,"UNINCORPORATED COMMUNITIES IN KOOTENAI COUNTY, IDAHO; UNINCORPORATED COMMUNITIES IN IDAHO",47.75388888888889,-116.73305555555557
134767,"KELLY HOUSE (SYRACUSE, NEW YORK)",0.7512892423070912,-1.328481503876803,5,"Architecture of Ward Wellington Ward in Syracuse MPS; Collins House (Syracuse, New York); Syracuse, New York; National Register of Historic Places; Ward Wellington Ward",5,"NATIONAL REGISTER OF HISTORIC PLACES IN SYRACUSE, NEW YORK; HOUSES IN SYRACUSE, NEW YORK; HISTORICAL BUILDINGS IN SYRACUSE, NEW YORK; HOUSES COMPLETED IN 1923; HOUSES ON THE NATIONAL REGISTER OF HISTORIC PLACES IN NEW YORK (STATE)",43.04570277777778,-76.11638333333332
345254,"EXETER, TASMANIA",-0.7208161329368471,2.564814665310589,17,"Methodism; West Tamar Highway; Census in Australia#2016; Australian Electoral Commission; Tasmania; Matthew Brady; Launceston, Tasmania; Australian Eastern Standard Time; West Tamar Council; Comprehensive school; Agriculture; Australian Eastern Daylight Time; bushranger; Exeter High School (Tasmania); Division of Lyons; Australia; Department of Education (Tasmania)",2,"LOCALITIES OF WEST TAMAR COUNCIL, TASMANIA; TOWNS IN TASMANIA",-41.29972222222223,146.95305555555555
152046,BAGH SANGAN-E OLYA,0.6162563663319534,1.0568695841347329,13,Central District (Torbat-e Jam County); Romanize; Torbat-e Jam County; List of countries; Counties of Iran; Iran Daylight Time; Razavi Khorasan Province; Iran Standard Time; Provinces of Iran; Rural Districts of Iran; Iran; Bakhsh; Mian Jam Rural District,1,POPULATED PLACES IN TORBAT-E JAM COUNTY,35.30888888888889,60.55416666666666
94482,IVOHIBE DISTRICT,-0.3900810878207327,0.7996516856220686,10,Amblavao District; Iakora District; Ihorombe Region; Ivohibe; Regions of Madagascar; Madagascar; East Africa Time; Ihosy District; Vondrozo District; Midongy Sud District,2,DISTRICTS OF MADAGASCAR; IHOROMBE,-22.35,45.81666666666666
357353,GOUMERO,0.6591526808365251,0.37728200663944095,13,"Karatoula, Elis; West Greece; Foloi oak forest; Pyrgos, Elis; Strabo; List of settlements in Elis; Oleni; Elis (regional unit); Neraida, Elis; Greece; Olympia, Greece; Ancient Greece; Agia Anna, Elis",1,POPULATED PLACES IN ELIS,37.766666666666666,21.61666666666667
161133,IRAZÚ VOLCANO NATIONAL PARK,0.1741644668017897,-1.463492514754923,8,"National Park; Central Volcanic Conservation Area; Cartago, Costa Rica; Irazú Volcano; SINAC; Spanish language; Cartago Province; Costa Rica",4,NATIONAL PARKS OF COSTA RICA; GEOGRAPHY OF CARTAGO PROVINCE; PROTECTED AREAS ESTABLISHED IN 1955; TOURIST ATTRACTIONS IN CARTAGO PROVINCE,9.97888888888889,-83.85194444444444
161055,KANIASSO,0.17133315490411002,-0.13119058210824042,10,Kaniasso Department; Denguélé District; Departments of Ivory Coast; Districts of Ivory Coast; Folon Region; Sub-prefectures of Ivory Coast; Ivory Coast; Communes of Ivory Coast; Regions of Ivory Coast; GMT,4,COMMUNES OF FOLON REGION; POPULATED PLACES IN DENGUÉLÉ DISTRICT; POPULATED PLACES IN FOLON REGION; SUB-PREFECTURES OF FOLON REGION,9.816666666666666,-7.516666666666666
324879,"CADENASSO, CALIFORNIA",0.6756945236359825,-2.131556071050241,6,"Brooks, California; Capay, California; Genoa, Italy; Yolo County, California; unincorporated area; Unincorporated area",2,"UNINCORPORATED COMMUNITIES IN YOLO COUNTY, CALIFORNIA; UNINCORPORATED COMMUNITIES IN CALIFORNIA",38.714444444444446,-122.12916666666665
116290,"ROGGENBURG, BASEL-COUNTRY",0.8278678418626435,0.1279908118129175,55,"Kleinlützel; Jura Mountains; Congress of Vienna; French language; coat of arms; motorcross; Education in Switzerland#Secondary; Kiffis; Atheism; Fachhochschule; FDP.The Liberals; Secondary sector of the economy; Hinduism; Solothurn; Delémont; Mont-Terrible; exclave; Tertiary sector of the economy; Laufen (district); Soyhières; Swiss People's Party; Baroque; voter turnout; Roman Catholic; Laufen, Switzerland; Swiss federal election, 2007; Christian Democratic People's Party of Switzerland; Municipalities of Switzerland; Cantons of Switzerland; Italian language; Canton of Jura; Basel-Country; Canton of Bern; Social Democratic Party of Switzerland; Primary sector of the economy; France; Delémont District; Liesberg; Pleigne; Population growth#Population growth rate; Roman Empire; Switzerland; Haut-Rhin; Roman Catholic Diocese of Basel; Movelier; Christian Catholic Church of Switzerland; Gothic Art; Birs; blazon; German language; Agnosticism; List of universities in Switzerland; Rhine; Ederswiler; Swiss Reformed Church",1,MUNICIPALITIES OF BASEL-LANDSCHAFT,47.43333333333332,7.333333333333333
22470,PUY MARY,0.78730832930102,0.046706950038092686,12,Cantal; Saxifraga oppositifolia; Quaternary glaciation; Saxifraga exarata; monts Dore; Pedicularis verticillata; Departments of France; trachyte; Massif Central; France; mounts of Cantal; Saxifraga androsacea,2,VOLCANOES OF METROPOLITAN FRANCE; MASSIF CENTRAL,45.109444444444456,2.6761111111111107
67498,YAOSSÉDOUGOU,0.14369877508086645,-0.07417649320975901,11,sub-prefectures of Ivory Coast; Departments of Ivory Coast; Districts of Ivory Coast; Vallée du Bandama District; Dabakala Department; Ivory Coast; Hambol; Communes of Ivory Coast; Regions of Ivory Coast; GMT; Hambol Region,4,POPULATED PLACES IN VALLÉE DU BANDAMA DISTRICT; SUB-PREFECTURES OF HAMBOL; FORMER COMMUNES OF IVORY COAST; POPULATED PLACES IN HAMBOL,8.233333333333333,-4.25
305493,SOKHULDZHAN,0.6795148554431256,0.8427031405045954,5,Yardymli Rayon; Azerbaijan; Azerbaijan Time; Sağolcan; Administrative divisions of Azerbaijan,1,POPULATED PLACES IN YARDYMLI DISTRICT,38.93333333333333,48.28333333333333
